수박 Num,파일명,특징A (형태비율),특징B (선명도),특징C (면적 %),특징D (평균굵기),특징E (파편화/가닥),당도 (Brix),상태
126,126_jpg.rf.WBmOyBqRBG2enV6dXMp7.jpg,0.914,93.69,16.35,5.71,250,9.4,성공
127,127_jpg.rf.GIgMeQdzbKuCr8lNWfug.jpg,0.975,119.52,23.99,6.27,86,9.4,성공
128,128_jpg.rf.aLsGo9A3ieIJvKDXzdVW.jpg,0.983,126.38,30.93,8.24,58,9.4,성공
129,129_jpg.rf.sEN0UU2bVb8oCpDBEHFP.jpg,0.92,112.74,25.3,8.33,255,9.4,성공
130,130_jpg.rf.vUDMeFx9MENsk3UlGuCZ.jpg,0.941,126.89,30.66,8.56,89,9.4,성공
131,131_jpg.rf.Vqgm273UeR9Gh5gIqCa9.jpg,0.906,111.71,26.14,11.49,113,9.4,성공
132,132_jpg.rf.n9cWst5KyQ2sr67ciPro.jpg,0.95,124.61,26.8,7.45,72,9.4,성공
133,133_jpg.rf.NUC0tb7q7cY8yBLcMX5l.jpg,0.979,115.0,22.12,5.31,145,9.4,성공
134,134_jpg.rf.bdlncYbTfK99Xz8OaF6P.jpg,0.959,126.65,27.89,8.74,59,9.4,성공
135,135_jpg.rf.i8vjFSfr1MptKy5j3o7m.jpg,0.827,90.32,21.06,6.51,310,9.4,성공
136,136_jpg.rf.NQfHuozJBGijHlIHJ0gt.jpg,0.791,95.77,20.3,12.56,106,10.2,성공
137,137_jpg.rf.rzy9NBsUwSUltn7PGU1h.jpg,0.8,112.98,24.36,10.83,165,10.2,성공
138,138_jpg.rf.wUIJwQMsvkfS6ZjCTKDm.jpg,0.811,108.32,14.04,6.74,157,10.2,성공
139,139_jpg.rf.4EciHTsAgEIeLQxxUuNl.jpg,0.793,96.88,11.07,3.61,222,10.2,성공
140,140_jpg.rf.6KwNsvEyHGBVvWydfGc7.jpg,0.793,114.43,25.71,12.91,97,10.2,성공
141,141_jpg.rf.cIKUksJUYIpuDHCCtpe6.jpg,0.772,100.43,19.65,12.91,121,10.2,성공
142,142_jpg.rf.tfAcfCNmRfeBRVgFKYML.jpg,0.768,118.76,26.69,11.73,144,10.2,성공
143,143_jpg.rf.G97y43ikWzGPkciZcy4O.jpg,0.792,109.24,6.2,2.52,154,10.2,성공
144,144_jpg.rf.QTsVTGKFlGLWBV5FZ2DZ.jpg,0.806,115.27,27.31,10.94,63,10.2,성공
145,145_jpg.rf.V9WBwDVPOtqIJz5HPTcG.jpg,0.862,103.05,8.68,6.78,74,8.7,성공
146,146_jpg.rf.hqXAHPpTAqLigrSLC4jo.jpg,0.864,120.89,27.79,10.88,69,8.7,성공
147,147_jpg.rf.LR1Qub6Elh5SsWGvz6lt.jpg,0.832,118.46,24.72,12.03,78,8.7,성공
148,148_jpg.rf.H1VG3pUc2Fk0yoJDtQAF.jpg,0.842,120.83,13.59,7.74,46,8.7,성공
149,149_jpg.rf.hwNEOhJvQZnBqZdf9JXn.jpg,0.843,130.47,32.22,12.13,81,8.7,성공
151,151_jpg.rf.AQjOLG9ypd9BuDwF3M7P.jpg,0.84,108.29,27.27,10.05,137,8.7,성공
152,152_jpg.rf.mZGQbvw6IqpZJwpW5Lgs.jpg,0.83,116.78,31.18,13.78,54,8.7,성공
153,153_jpg.rf.1V8OHE9IpM8lYWDxS9Th.jpg,0.832,126.49,29.82,10.7,43,8.7,성공
154,154_jpg.rf.vBc2XtAO8d8MHiAwhesA.jpg,0.935,116.84,21.85,14.05,301,9.0,성공
155,155_jpg.rf.jYNQcvvtNfJh1AUIpqkJ.jpg,0.946,112.23,21.28,14.25,234,9.0,성공
156,156_jpg.rf.yb2JuOo7IfLrVW6JOwHV.jpg,0.935,105.21,21.66,25.34,212,9.0,성공
